asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,784 | Behavioral cloning loss (Bob loss) after epoch 51: 1.0158705711364746
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,844 | PPO objective after epoch 52: 9.125572204589844
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,844 | Value loss (MSE loss) after epoch 52: 352315.875
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,844 | Behavioral cloning loss (Bob loss) after epoch 52: 1.0483553409576416
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,906 | PPO objective after epoch 53: 8.161702156066895
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,906 | Value loss (MSE loss) after epoch 53: 101833.28125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,907 | Behavioral cloning loss (Bob loss) after epoch 53: 0.8227735161781311
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:33,978 | PPO objective after epoch 54: 17.34394073486328
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:33,978 | Value loss (MSE loss) after epoch 54: 608581.8125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:33,978 | Behavioral cloning loss (Bob loss) after epoch 54: 1.0799483060836792
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,040 | PPO objective after epoch 55: 103.7986831665039
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,040 | Value loss (MSE loss) after epoch 55: 63550420.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,040 | Behavioral cloning loss (Bob loss) after epoch 55: 1.040886402130127
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,104 | PPO objective after epoch 56: 827001.25
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,104 | Value loss (MSE loss) after epoch 56: 3343050608738304.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,104 | Behavioral cloning loss (Bob loss) after epoch 56: 1.0484483242034912
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,163 | PPO objective after epoch 57: 9.412795066833496
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,163 | Value loss (MSE loss) after epoch 57: 419086.09375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:34,163 | Behavioral cloning loss (Bob loss) after epoch 57: 1.0093016624450684
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:34,225 | PPO objective after epoch 58: 27.96729278564453
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:34,225 | Value loss (MSE loss) after epoch 58: 1988498.5
